,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
614,1082.29,Amino-derivative,845-02,C53H64N5O12S3 * Na,847,876,(in Ethanol),DY-845,"160,000"
615,1184.31,Maleimide,845-03,C57H63N5O14S3 * 2 Na,847,876,(in Ethanol),DY-845,"160,000"
622,1084.19,Carboxylic acid,865-00,C53H55N3O13S3 * 2 Na,863,896,(in Ethanol),DY-865,"190,000"
623,1181.26,NHS-ester,865-01,C57H58N4O15S3 * 2 Na,863,896,(in Ethanol),DY-865,"190,000"
624,1104.29,Amino-derivative,865-02,C55H62N5O12S3 * Na,863,896,(in Ethanol),DY-865,"190,000"
625,1206.32,Maleimide,865-03,C59H61N5O14S3 * 2 Na,863,896,(in Ethanol),DY-865,"190,000"
628,634.65,Carboxylic acid,350XL-00,C25H31N4O10S2 * Na,347,608,(in PBS),DY-350XL,"17,000"
629,731.74,NHS-ester,350XL-01,C29H34N5O12S2 * Na,347,608,(in PBS),DY-350XL,"17,000"
630,654.77,Amino-derivative,350XL-02,C27H38N6O9S2,347,608,(in PBS),DY-350XL,"17,000"
631,756.79,Maleimide,350XL-03,C31H37N6O11S2 * Na,347,608,(in PBS),DY-350XL,"17,000"
634,632.61,Carboxylic acid,360XL-00,C27H26N2O9S2 * 2 Na,362,459,(in PBS),DY-360XL,"27,000"
635,729.69,NHS-ester,360XL-01,C31H29N3O11S2 * 2 Na,362,459,(in PBS),DY-360XL,"27,000"
636,652.71,Amino-derivative,360XL-02,C29H33N4O8S2 * Na,362,459,(in PBS),DY-360XL,"27,000"
637,754.74,Maleimide,360XL-03,C33H32N4O10S2 * 2 Na,362,459,(in PBS),DY-360XL,"27,000"
640,542.51,Carboxylic acid,370XL-00,C22H19N2O9S2 * Na,368,475,(in PBS),DY-370XL,"17,000"
641,639.59,NHS-ester,370XL-01,C26H22N3O11S2 * Na,368,475,(in PBS),DY-370XL,"17,000"
642,562.62,Amino-derivative,370XL-02,C24H26N4O8S2,368,475,(in PBS),DY-370XL,"17,000"
643,664.64,Maleimide,370XL-03,C28H25N4O10S2 * Na,368,475,(in PBS),DY-370XL,"17,000"
646,447.46,Carboxylic acid,375XL-00,C20H21N3O7S,375,543,(in PBS),DY-375XL,"20,000"
647,544.53,NHS-ester,375XL-01,C24H24N4O9S,375,543,(in PBS),DY-375XL,"20,000"
648,526.00,Amino-derivative,375XL-02,C22H28N5O6S * Cl,375,543,(in PBS),DY-375XL,"20,000"
649,569.58,Maleimide,375XL-03,C26H27N5O8S,375,543,(in PBS),DY-375XL,"20,000"
656,576.57,Carboxylic acid,376XL-00,C23H25N2O10S2 * Na,387,549,(in PBS),DY-376XL,"25,400"
657,673.64,NHS-ester,376XL-01,C27H28N3O12S2 * Na,387,549,(in PBS),DY-376XL,"25,400"
658,596.67,Amino-derivative,376XL-02,C25H32N4O9S2,387,549,(in PBS),DY-376XL,"25,400"
659,698.69,Maleimide,376XL-03,C29H31N4O11S2 * Na,387,549,(in PBS),DY-376XL,"25,400"
662,448.49,Carboxylic acid,380XL-00,C21H24N2O7S,382,510,(in PBS),DY-380XL,"22,000"
663,545.56,NHS-ester,380XL-01,C25H27N3O9S,382,510,(in PBS),DY-380XL,"22,000"
664,527.03,Amino-derivative,380XL-02,C23H31N4O6S * Cl,382,510,(in PBS),DY-380XL,"22,000"
665,570.61,Maleimide,380XL-03,C27H30N4O8S,382,510,(in PBS),DY-380XL,"22,000"
668,490.53,Carboxylic acid,395XL-00,C22H26N4O7S,397,572,(in PBS),DY-395XL,"22,000"
669,587.60,NHS-ester,395XL-01,C26H29N5O9S,397,572,(in PBS),DY-395XL,"22,000"
670,569.07,Amino-derivative,395XL-02,C24H33N6O6S * Cl,397,572,(in PBS),DY-395XL,"22,000"
671,612.65,Maleimide,395XL-03,C28H32N6O8S,397,572,(in PBS),DY-395XL,"22,000"
674,474.53,Carboxylic acid,396XL-00,C23H26N2O7S,394,572,(in PBS),DY-396XL,"26,600"
675,571.60,NHS-ester,396XL-01,C27H29N3O9S,394,572,(in PBS),DY-396XL,"26,600"
676,553.07,Amino-derivative,396XL-02,C25H33N4O6S * Cl,394,572,(in PBS),DY-396XL,"26,600"
677,596.65,Maleimide,396XL-03,C29H32N4O8S,394,572,(in PBS),DY-396XL,"26,600"
684,585.62,Carboxylic acid,475XL-00,C29H31NO10S,494,512,(in Ethanol),DY-475XL,"90,000"
685,682.69,NHS-ester,475XL-01,C33H34N2O12S,494,512,(in Ethanol),DY-475XL,"90,000"
686,627.70,Amino-derivative,475XL-02,C31H37N3O9S,494,512,(in Ethanol),DY-475XL,"90,000"
687,707.75,Maleimide,475XL-03,C35H37N3O11S,494,512,(in Ethanol),DY-475XL,"90,000"
690,514.60,Carboxylic acid,480XL-00,C26H30N2O7S,504,631,(in Ethanol),DY-480XL,"50,000"
691,611.68,NHS-ester,480XL-01,C30H33N3O9S,504,631,(in Ethanol),DY-480XL,"50,000"
692,593.14,Amino-derivative,480XL-02,C28H37N4O6S * Cl,504,631,(in Ethanol),DY-480XL,"50,000"
693,636.73,Maleimide,480XL-03,C32H36N4O8S,504,631,(in Ethanol),DY-480XL,"50,000"
696,630.67,Carboxylic acid,481XL-00,C27H31N2O10S2 * Na,521,649,(in Ethanol),DY-481XL,"50,000"
697,727.75,NHS-ester,481XL-01,C31H34N3O12S2 * Na,521,649,(in Ethanol),DY-481XL,"50,000"
698,650.78,Amino-derivative,481XL-02,C29H38N4O9S2,521,649,(in Ethanol),DY-481XL,"50,000"
699,752.80,Maleimide,481XL-03,C33H37N4O11S2 * Na,521,649,(in Ethanol),DY-481XL,"50,000"
702,502.59,Carboxylic acid,485XL-00,C25H30N2O7S,488,559,(in Ethanol),DY-485XL,"50,000"
703,599.67,NHS-ester,485XL-01,C29H33N3O9S,488,559,(in Ethanol),DY-485XL,"50,000"
704,581.13,Amino-derivative,485XL-02,C27H37N4O6S * Cl,488,559,(in Ethanol),DY-485XL,"50,000"
705,624.72,Maleimide,485XL-03,C31H36N4O8S,488,559,(in Ethanol),DY-485XL,"50,000"
712,515.44,Carboxylic acid,494XL-00,C26H31N2O4 * Br,497,639,(in Ethanol),DY-494XL,"50,000"
713,612.51,NHS-ester,494XL-01,C30H34N3O6 * Br,497,639,(in Ethanol),DY-494XL,"50,000"
714,549.53,Amino-derivative,494XL-02,C28H38N4O2 * 2 Cl,497,639,(in Ethanol),DY-494XL,"50,000"
715,637.56,Maleimide,494XL-03,C32H37N4O5 * Br,497,639,(in Ethanol),DY-494XL,"50,000"
718,554.67,Carboxylic acid,510XL-00,C29H34N2O7S,512,590,(in Ethanol),DY-510XL,"50,000"
719,651.74,NHS-ester,510XL-01,C33H37N3O9S,512,590,(in Ethanol),DY-510XL,"50,000"
720,633.21,Amino-derivative,510XL-02,C31H41N4O6S * Cl,512,590,(in Ethanol),DY-510XL,"50,000"
721,676.80,Maleimide,510XL-03,C35H40N4O8S,512,590,(in Ethanol),DY-510XL,"50,000"
724,656.70,Carboxylic acid,511XL-00,C29H33N2O10S2 * Na,510,595,(in PBS),DY-511XL,"50,000"
725,753.77,NHS-ester,511XL-01,C33H36N3O12S2 * Na,510,595,(in PBS),DY-511XL,"50,000"
726,676.80,Amino-derivative,511XL-02,C31H40N4O9S2,510,595,(in PBS),DY-511XL,"50,000"
727,778.82,Maleimide,511XL-03,C35H39N4O11S2 * Na,510,595,(in PBS),DY-511XL,"50,000"
730,514.60,Carboxylic acid,520XL-00,C26H30N2O7S,522,662,(in Ethanol),DY-520XL,"50,000"
731,611.68,NHS-ester,520XL-01,C30H33N3O9S,522,662,(in Ethanol),DY-520XL,"50,000"
732,593.14,Amino-derivative,520XL-02,C28H37N4O6S * Cl,522,662,(in Ethanol),DY-520XL,"50,000"
733,636.73,Maleimide,520XL-03,C32H36N4O8S,522,662,(in Ethanol),DY-520XL,"50,000"
740,630.67,Carboxylic acid,521XL-00,C27H31N2O10S2 * Na,526,666,(in Ethanol),DY-521XL,"50,000"
741,727.75,NHS-ester,521XL-01,C31H34N3O12S2 * Na,526,666,(in Ethanol),DY-521XL,"50,000"
742,650.78,Amino-derivative,521XL-02,C29H38N4O9S2,526,666,(in Ethanol),DY-521XL,"50,000"
743,752.80,Maleimide,521XL-03,C33H37N4O11S2 * Na,526,666,(in Ethanol),DY-521XL,"50,000"
746,788.75,Carboxylic acid,DYQ1-00,C32H34N6O11S2 * 2 Na,543,0,(in PBS),DYQ-1,"44,000"
747,885.83,NHS-ester,DYQ1-01,C36H37N7O13S2 * 2 Na,543,0,(in PBS),DYQ-1,"44,000"
748,808.85,Amino-derivative,DYQ1-02,C34H41N8O10S2 * Na,543,0,(in PBS),DYQ-1,"44,000"
749,910.88,Maleimide,DYQ1-03,C38H40N8O12S2 * 2 Na,543,0,(in PBS),DYQ-1,"44,000"
753,745.79,Carboxylic acid,DYQ2-00,C36H36NO11S2 * Na,641,0,(in PBS),DYQ-2,"105,000"
754,842.86,NHS-ester,DYQ2-01,C40H39N2O13S2 * Na,641,0,(in PBS),DYQ-2,"105,000"
755,765.89,Amino-derivative,DYQ2-02,C38H43N3O10S2,641,0,(in PBS),DYQ-2,"105,000"
756,867.91,Maleimide,DYQ2-03,C42H42N3O12S2 * Na,641,0,(in PBS),DYQ-2,"105,000"
760,802.84,Carboxylic acid,DYQ3-00,C35H36N2O11S3 * 2 Na,683,0,(in PBS),DYQ-3,"80,000"
761,899.91,NHS-ester,DYQ3-01,C39H39N3O13S3 * 2 Na,683,0,(in PBS),DYQ-3,"80,000"
762,822.94,Amino-derivative,DYQ3-02,C37H43N4O10S3 * Na,683,0,(in PBS),DYQ-3,"80,000"
763,924.97,Maleimide,DYQ3-03,C41H42N4O12S3 * 2 Na,683,0,(in PBS),DYQ-3,"80,000"
767,796.92,Carboxylic acid,DYQ4-00,C41H45N2O9S2 * Na,766,0,(in PBS),DYQ-4,"180,000"
768,893.99,NHS-ester,DYQ4-01,C45H48N3O11S2 * Na,766,0,(in PBS),DYQ-4,"180,000"
769,817.02,Amino-derivative,DYQ4-02,C43H52N4O8S2,766,0,(in PBS),DYQ-4,"180,000"
770,919.05,Maleimide,DYQ4-03,C47H51N4O10S2 * Na,766,0,(in PBS),DYQ-4,"180,000"
778,784.36,Carboxylic acid,425Q-00,C23H22Br2N4O10S2 * 2 Na,429,0,(in PBS),DYQ-425,"24,500"
779,881.43,NHS-ester,425Q-01,C27H25Br2N5O12S2 * 2 Na,429,0,(in PBS),DYQ-425,"24,500"
780,804.46,Amino-derivative,425Q-02,C25H29Br2N6O9S2 * Na,429,0,(in PBS),DYQ-425,"24,500"
781,906.48,Maleimide,425Q-03,C29H28Br2N6O11S2 * 2 Na,429,0,(in PBS),DYQ-425,"24,500"
785,713.73,Carboxylic acid,505Q-00,C31H33N5O8S2 * 2 Na,506,0,(in PBS),DYQ-505,"44,000"
786,810.80,NHS-ester,505Q-01,C35H36N6O10S2 * 2 Na,506,0,(in PBS),DYQ-505,"44,000"
787,733.83,Amino-derivative,505Q-02,C33H40N7O7S2 * Na,506,0,(in PBS),DYQ-505,"44,000"
788,835.85,Maleimide,505Q-03,C37H39N7O9S2 * 2 Na,506,0,(in PBS),DYQ-505,"44,000"
792,668.84,Carboxylic acid,660Q-00,C39H44N2O6S,660,0,(in Ethanol),DYQ-660,"140,000"
793,765.91,NHS-ester,660Q-01,C43H47N3O8S,660,0,(in Ethanol),DYQ-660,"140,000"
794,747.38,Amino-derivative,660Q-02,C41H51N4O5S * Cl,660,0,(in Ethanol),DYQ-660,"140,000"
795,790.96,Maleimide,660Q-03,C45H50N4O7S,660,0,(in Ethanol),DYQ-660,"140,000"
807,770.88,Carboxylic acid,661Q-00,C39H43N2O9S2 * Na,662,0,(in Ethanol),DYQ-661,"140,000"
808,867.96,NHS-ester,661Q-01,C43H46N3O11S2 * Na,662,0,(in Ethanol),DYQ-661,"140,000"
809,790.99,Amino-derivative,661Q-02,C41H50N4O8S2,662,0,(in Ethanol),DYQ-661,"140,000"
810,893.01,Maleimide,661Q-03,C45H49N4O10S2 * Na,662,0,(in Ethanol),DYQ-661,"140,000"
831,808.89,Carboxylic acid,700Q-00,C39H41N6O8S2 * Na,691,0,(in PBS),DYQ-700,"58,000"
832,905.97,NHS-ester,700Q-01,C43H44N7O10S2 * Na,691,0,(in PBS),DYQ-700,"58,000"
833,828.99,Amino-derivative,700Q-02,C41H48N8O7S2,691,0,(in PBS),DYQ-700,"58,000"
834,931.02,Maleimide,700Q-03,C45H47N8O9S2 * Na,691,0,(in PBS),DYQ-700,"58,000"
838,798.89,Carboxylic acid,485XLP4-00,C37H54N2O15S,478,557,(in Ethanol),DY-485XLP4,"50,000"
839,895.97,NHS-ester,485XLP4-01,C41H57N3O17S,478,557,(in Ethanol),DY-485XLP4,"50,000"
840,877.44,Amino-derivative,485XLP4-02,C39H61N4O14S * Cl,478,557,(in Ethanol),DY-485XLP4,"50,000"
841,921.02,Maleimide,485XLP4-03,C43H60N4O16S,478,557,(in Ethanol),DY-485XLP4,"50,000"
845,838.96,Carboxylic acid,520XLP4-00,C40H58N2O15S,514,665,(in Ethanol),DY-520XLP4,"50,000"
846,936.03,NHS-ester,520XLP4-01,C44H61N3O17S,514,665,(in Ethanol),DY-520XLP4,"50,000"
847,917.50,Amino-derivative,520XLP4-02,C42H65N4O14S * Cl,514,665,(in Ethanol),DY-520XLP4,"50,000"
848,961.08,Maleimide,520XLP4-03,C46H64N4O16S,514,665,(in Ethanol),DY-520XLP4,"50,000"
852,1005.17,Carboxylic acid,547P4-00,C47H69N2O16S2 * Na,557,571,(in PBS),DY-547P4,"150,000"
853,1102.25,NHS-ester,547P4-01,C51H72N3O18S2 * Na,557,571,(in PBS),DY-547P4,"150,000"
854,1025.28,Amino-derivative,547P4-02,C49H76N4O15S2,557,571,(in PBS),DY-547P4,"150,000"
855,1127.30,Maleimide,547P4-03,C53H75N4O17S2 * Na,557,571,(in PBS),DY-547P4,"150,000"
859,1061.24,Carboxylic acid,631P4-00,C50H73N2O17S2 * Na,637,659,(in Ethanol),DY-631P4,"200,000"
860,1158.31,NHS-ester,631P4-01,C54H76N3O19S2 * Na,637,659,(in Ethanol),DY-631P4,"200,000"
861,1081.34,Amino-derivative,631P4-02,C52H80N4O16S2,637,659,(in Ethanol),DY-631P4,"200,000"
862,1183.36,Maleimide,631P4-03,C56H79N4O18S2 * Na,637,659,(in Ethanol),DY-631P4,"200,000"
870,1327.53,Carboxylic acid,647P4-00,C61H95N2O24S2 * Na,656,674,(in PBS),DY-647P4,"250,000"
871,1424.60,NHS-ester,647P4-01,C65H98N3O26S2 * Na,656,674,(in PBS),DY-647P4,"250,000"
872,1347.63,Amino-derivative,647P4-02,C63H102N4O23S2,656,674,(in PBS),DY-647P4,"250,000"
873,1449.65,Maleimide,647P4-03,C67H101N4O25S2 * Na,656,674,(in PBS),DY-647P4,"250,000"
877,1631.73,Carboxylic acid,679P4-00,C69H97N2O30S4 * 3 Na,684,703,(in PBS),DY-679P4,"200,000"
878,1728.81,NHS-ester,679P4-01,C73H100N3O32S4 * 3 Na,684,703,(in PBS),DY-679P4,"200,000"
879,1651.83,Amino-derivative,679P4-02,C71H104N4O29S4 * 2 Na,684,703,(in PBS),DY-679P4,"200,000"
880,1753.86,Maleimide,679P4-03,C75H103N4O31S4 * 3 Na,684,703,(in PBS),DY-679P4,"200,000"
884,1061.24,Carboxylic acid,681P4-00,C50H73N2O17S2 * Na,690,709,(in Ethanol),DY-681P4,"140,000"
885,1158.31,NHS-ester,681P4-01,C54H76N3O19S2 * Na,690,709,(in Ethanol),DY-681P4,"140,000"
886,1081.34,Amino-derivative,681P4-02,C52H80N4O16S2,690,709,(in Ethanol),DY-681P4,"140,000"
887,1183.36,Maleimide,681P4-03,C56H79N4O18S2 * Na,690,709,(in Ethanol),DY-681P4,"140,000"
891,1125.28,Carboxylic acid,703P4-00,C54H73N2O18S2 * Na,704,722,(in Ethanol),DY-703P4,"140,000"
892,1222.35,NHS-ester,703P4-01,C58H76N3O20S2 * Na,704,722,(in Ethanol),DY-703P4,"140,000"
893,1145.38,Amino-derivative,703P4-02,C56H80N4O17S2,704,722,(in Ethanol),DY-703P4,"140,000"
894,1247.40,Maleimide,703P4-03,C60H79N4O19S2 * Na,704,722,(in Ethanol),DY-703P4,"140,000"
902,1227.32,Carboxylic acid,704P4-00,C54H72N2O21S3 * 2 Na,705,721,(in Ethanol),DY-704P4,"140,000"
903,1324.40,NHS-ester,704P4-01,C58H75N3O23S3 * 2 Na,705,721,(in Ethanol),DY-704P4,"140,000"
904,1247.43,Amino-derivative,704P4-02,C56H79N4O20S3 * Na,705,721,(in Ethanol),DY-704P4,"140,000"
905,1349.45,Maleimide,704P4-03,C60H78N4O22S3 * 2 Na,705,721,(in Ethanol),DY-704P4,"140,000"
909,1087.27,Carboxylic acid,731P4-00,C52H75N2O17S2 * Na,737,754,(in Ethanol),DY-731P4,"220,000"
910,1184.35,NHS-ester,731P4-01,C56H78N3O19S2 * Na,737,754,(in Ethanol),DY-731P4,"220,000"
911,1107.38,Amino-derivative,731P4-02,C54H82N4O16S2,737,754,(in Ethanol),DY-731P4,"220,000"
912,1209.40,Maleimide,731P4-03,C58H81N4O18S2 * Na,737,754,(in Ethanol),DY-731P4,"220,000"
916,1353.56,Carboxylic acid,747P4-00,C63H97N2O24S2 * Na,756,776,(in PBS),DY-747P4,"240,000"
917,1450.64,NHS-ester,747P4-01,C67H100N3O26S2 * Na,756,776,(in PBS),DY-747P4,"240,000"
918,1373.66,Amino-derivative,747P4-02,C65H104N4O23S2,756,776,(in PBS),DY-747P4,"240,000"
919,1475.69,Maleimide,747P4-03,C69H103N4O25S2 * Na,756,776,(in PBS),DY-747P4,"240,000"
923,1087.28,Carboxylic acid,781P4-00,C52H75N2O17S2 * Na,784,795,(in Ethanol),DY-781P4,"170,000"
924,1184.35,NHS-ester,781P4-01,C56H78N3O19S2 * Na,784,795,(in Ethanol),DY-781P4,"170,000"
925,1107.38,Amino-derivative,781P4-02,C54H82N4O16S2,784,795,(in Ethanol),DY-781P4,"170,000"
926,1209.40,Maleimide,781P4-03,C58H81N4O18S2 * Na,784,795,(in Ethanol),DY-781P4,"170,000"
934,1587.77,Carboxylic acid,800P4-00,C72H104N2O28S3 * 2 Na,783,795,(in PBS),DY-800P4,"250,000"
935,1684.84,NHS-ester,800P4-01,C76H107N3O30S3 * 2 Na,783,795,(in PBS),DY-800P4,"250,000"
936,1607.87,Amino-derivative,800P4-02,C74H111N4O27S3 * Na,783,795,(in PBS),DY-800P4,"250,000"
937,1709.89,Maleimide,800P4-03,C78H110N4O29S3 * 2 Na,783,795,(in PBS),DY-800P4,"250,000"
941,697.88,,FatRed-00,C41H51N3O7,656,680,(in Ethanol),FatRed,"95,000"
950,751.94,,Stain01-00,C37H50N3O8S2 * Na,513,580,(in Ethanol),Stain01,"120,000"
952,454.42,Carboxylic acid,344IN-00,C20H19N2O7S * Na,387,549,protonated form at pH 3,DY-344IN,"27,000"
953,551.50,NHS-ester,344IN-01,C24H22N3O9S * Na,387,549,protonated form at pH 3,DY-344IN,"27,000"
954,474.53,Amino-derivative,344IN-02,C22H26N4O6S,387,549,protonated form at pH 3,DY-344IN,"27,000"
955,576.55,Maleimide,344IN-03,C26H25N4O8S * Na,387,549,protonated form at pH 3,DY-344IN,"27,000"
966,564.50,,V02-07027,C28H37N4OS * BF4,477,522,(in Ethanol),V02-07027,"70,000"
974,887.88,,V02-08078,C32H46N5OS * 3 C2F3O2,492,537,(in Ethanol),V02-08078,"90,000"
997,578.48,,V13-01184,C28H35N4O2S * BF4,481,526,(in Ethanol),V13-01184,"80,000"
1008,440.24,,MTD-1,C21H25N2O3 * BF4,485,558,(in Ethanol),MitoDy-1,"62,000"
1022,620.96,,660-SL-00,C43H60N2O,665,0,(in Ethanol),DY-660-SL,"20,000"
1023,559.01,,840-S-00,C32H31N2O·ClO4,840,0,(in Ethanol),DY-840-S,"65,000"
1024,637.09,,660-X,C33H33N2O5·ClO4,662,693,(in Dichloromethane),DY-660-X,"80,000"
1037,516.98,,665-X,C26H29N2O3·ClO4,670,690,(in Dichloromethane),DY-665-X,"80,000"
